provider_id,agency_name,street_address,city,state,zip_code,total_episodes_non_lupa,distinct_users_non_lupa,total_hha_charge_amount_non_lupa,total_hha_medicare_payment_amount_non_lupa,total_hha_medicare_standard_payment_amount_non_lupa,outlier_payments_as_a_percent_of_medicare_payment_amount_non_lupa,total_lupa_episodes,total_hha_medicare_payment_amount_for_lupas
17024,SOUTHEAST ALABAMA HOMECARE,"810 HEDSTROM DRIVE, SUITE ONE",DOTHAN,AL,36301,2172,1090,6542842,4842608,6141106,0,358.0,99276.0
17025,SAAD HEALTHCARE,"1515 UNIVERSITY BLVD, SOUTH",MOBILE,AL,36609,2321,1148,7162296,5876044,7395974,0,206.0,54841.0
17027,HGA HOMECARE OF DECATUR,"2708 HIGHWAY 31 SOUTH, SUITE B",DECATUR,AL,35603,1985,960,5810130,4620396,5892336,0,192.0,52848.0
17028,CENTRAL ALABAMA HOMECARE,345 WALKER CHAPEL PLAZA,FULTONDALE,AL,35068,760,450,2564139,2304601,2639945,0,68.0,19693.0
17034,MERCY MEDICAL HOME HEALTH,101 B VILLA DRIVE,DAPHNE,AL,36526,997,490,2631447,2620728,3320042,0,98.0,30331.0
17035,INFIRMARY HOMECARE OF MOBILE,"4358 MIDMOST DRIVE, SUITE A",MOBILE,AL,36609,1963,1142,5980053,4627104,5823000,0,294.0,85060.0
17037,BAPTIST HOME HEALTH,"300 INTERSTATE PARK DRIVE, SUITE 312",MONTGOMERY,AL,36109,916,618,3090899,2235281,2741731,0,145.0,41411.0
17039,AMEDISYS HOME HEALTH OF HUNTSVILLE,"7047 OLD MADISON PIKE, SUITE 305",HUNTSVILLE,AL,35806,2254,1483,6929707,6381768,7552128,0,261.0,72546.0
17051,AMEDISYS HOME HEALTH LAKESHORE OF BIRMINGHAM,"2204 LAKESHORE DRIVE, SUITE 110",HOMEWOOD,AL,35209,1553,1013,4732108,4581867,5273846,0,216.0,60733.0
17053,CARESOUTH HOMECARE PROFESSIONALS,"3700 ROSS CLARK CIRCLE, SUITE 1",DOTHAN,AL,36303,2150,1305,6657396,5911472,7310001,0,109.0,29184.0
17063,INTREPID USA HEALTHCARE SERVICES,"3918 MONTCLAIR RD, SUITE 202",BIRMINGHAM,AL,35209,823,368,2185773,1930388,2382573,0,83.0,23467.0
17069,AMEDISYS HOME HEALTH OF FOLEY,1809 N MCKENZIE STREET,FOLEY,AL,36535,2027,1044,5702542,4939216,6263995,0,206.0,51920.0
17070,AMEDISYS HOME HEALTH OF CITRONELLE,"19375 NORTH 3RD STREET, SUITE 101",CITRONELLE,AL,36522,629,281,1427486,1411749,1797984,0,54.0,15723.0
17078,AMEDISYS HOME HEALTH OF REFORM,420 FIRST AVENUE WEST,REFORM,AL,35481,781,380,2454766,2079317,2627985,0,124.0,29300.0
17080,DCH HOME HEALTH CARE AGENCY,1401 GREENSBORO AVENUE,TUSCALOOSA,AL,35401,2105,1266,5527099,5163363,5898748,0,261.0,78463.0
17083,HOME CARE PLUS,3950 AUTUMN LANE,BIRMINGHAM,AL,35243,972,661,2951102,2772351,3169419,0,54.0,16928.0
17084,GENTIVA HOME HEALTH SERVICES,200 CENTRAL PARK PLACE,SELMA,AL,36701,396,258,1143082,909508,1169859,0,56.0,15085.0
17085,COOSA VALLEY HOMECARE,315 WEST HICKORY STREET,SYLACAUGA,AL,35150,673,388,2062698,1470897,1852536,0,63.0,18042.0
17088,FAYETTE MEDICAL CENTER HOMECARE,"102 2ND AVENUE, SE",FAYETTE,AL,35555,611,283,2050545,1551835,1957739,0,67.0,18512.0
17089,CULLMAN REGIONAL MEDICAL CENTER HOME CARE SERVICES,"1912 ALABAMA HIGHWAY 157, 2ND FLOOR",CULLMAN,AL,35058,354,288,575785,811591,1021569,0,55.0,17077.0
17091,HALE COUNTY HOSPITAL HOME HEALTH,506 GREENE STREET,GREENSBORO,AL,36744,469,192,638691,979510,1120450,0,52.0,10867.0
17095,ATHENS-LIMESTONE HOMECARE,1428 FREEMAN AVENUE,ATHENS,AL,35613,1077,520,3200646,2818005,3195560,0,69.0,21991.0
17096,TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231 SOUTH,TROY,AL,36081,332,162,663262,665243,842033,0,56.0,14150.0
17097,"CLAY COUNTY HOSPITAL HOME CARE, LLC",83825 HIGHWAY 9,ASHLAND,AL,36251,479,244,1226962,1001404,1268735,0,56.0,15529.0
17100,MARION REGIONAL HOMECARE,1186 MILITARY STREET SOUTH,HAMILTON,AL,35570,478,214,1544287,1169600,1480562,0,69.0,17282.0
17103,BRYAN W WHITFIELD MEM HOSP,HWY 80 E,DEMOPOLIS,AL,36732,534,247,756833,930254,1157820,0,86.0,21367.0
17107,SUNCREST HOME HEALTH,222 7TH STREET SOUTH,CLANTON,AL,35045,889,503,2131662,2501232,2891281,0,50.0,14680.0
17115,GADSDEN REGIONAL HOME HEALTH,82 INDUSTRIAL BOULEVARD,ATTALLA,AL,35954,513,271,1276242,1083008,1341687,0,50.0,13089.0
17116,IVY CREEK HOME HEALTH OF ELMORE,15 CAMBRIDGE COURT,WETUMPKA,AL,36092,849,409,1629942,1938832,2362126,0,76.0,20028.0
17117,LAKE MARTIN HOME HEALTH,"301 MARIARDEN ROAD, SUITE F - PO BOX 629",DADEVILLE,AL,36853,1808,608,2852703,3462853,4382869,0,94.0,25401.0
17118,"AMEDISYS H H, A LAWRENCE MEDICAL CTR PARTNER","15190 COURT STREET, SUITE B",MOULTON,AL,35650,231,144,580151,514209,658279,0,81.0,17068.0
17119,HGA HOMECARE OF HUNTSVILLE,"6767 OLD MADISON PIKE NW - BUILDING 4, SUITE 400",HUNTSVILLE,AL,35806,1887,1201,5955120,5228502,5913777,0,283.0,92145.0
17125,KELLER HOME CARE,217 HOSPITAL ROAD,RED BAY,AL,35582,1073,463,3118809,2480349,3092607,0,138.0,41445.0
17128,MEDICAL CENTERS HOMECARE,11687 US HWY 431,GUNTERSVILLE,AL,35976,1646,730,5288834,4040302,5111093,0,237.0,60943.0
17129,HOMECARE OF EAST ALABAMA MEDICAL CENTER,"665 OPELIKA ROAD, SUITE 300",AUBURN,AL,36830,1424,850,3906326,3234592,4018627,0,210.0,64785.0
17130,INFIRMARY HOMECARE OF GROVE HILL,127-C CLARKE STREET,GROVE HILL,AL,36451,762,414,2185201,1687441,2137949,0,94.0,24376.0
17134,LHC HOMECARE OF SOUTH ALABAMA,700 BRANTLEY STREET,OPP,AL,36467,1634,698,5027450,3765501,4759472,0,165.0,43232.0
17143,D W MCMILLAN HOME HEALTH,114 W JACKSON STREET,BREWTON,AL,36426,1000,371,2923040,2286106,2901093,0,78.0,20272.0
17148,THOMAS HOME HEALTH,"7530 PARKER ROAD, SUITE 200",FAIRHOPE,AL,36532,1111,556,3645314,2750590,3484354,0,106.0,30177.0
17149,ST VINCENT'S HOME HEALTH OF JEFFERSON COUNTY,"1400 URBAN CENTER DRIVE, SUITE 240",HOOVER,AL,35242,1825,1137,4408420,4913461,5755107,0,106.0,34300.0
17153,COMFORT CARE HOME HEALTH,1249 5TH STREET SOUTHWEST,ALABASTER,AL,35007,2357,1283,5461938,5914706,6814990,0,259.0,77496.0
17159,AMEDISYS HOME HEALTH OF OZARK,"123 S PAINTER AVENUE, SUITE C",OZARK,AL,36360,371,241,939928,880404,1128927,0,54.0,14531.0
17165,AMEDISYS HOME HEALTH OF FLORENCE,"412 S COURT STREET, SUITE 403",FLORENCE,AL,35630,1532,727,4315492,3930116,4885536,0,137.0,37931.0
17300,AMEDISYS HOME HEALTH OF TUSCALOOSA,"1300  MCFARLAND BOULEVARD NORTHEAST, SUITE 320",TUSCALOOSA,AL,35406,3247,1628,10299048,9588633,11218500,0,522.0,143088.0
17305,AMEDISYS HOME HEALTH OF ANNISTON,"171 TOWN CENTER DR, SUITE MPS-4",ANNISTON,AL,36205,4317,2364,13385854,11599558,14538219,0,474.0,128132.0
17319,AMEDISYS HOME HEALTH OF MONTGOMERY,"300 INTERSTATE PARK DRIVE, SUITE 324",MONTGOMERY,AL,36109,2003,1219,5781644,5549308,6718083,0,296.0,83496.0
17320,AMEDISYS HOME HEALTH OF SELMA,108 EXECUTIVE PARK LANE,SELMA,AL,36701,2699,1536,6320449,6158009,7696367,0,310.0,76656.0
17324,ALACARE HOME HEALTH AND HOSPICE,824 HIGHWAY 231 SOUTH,TROY,AL,36081,4746,2633,11852647,10830538,13602606,0,442.0,119940.0
17326,ALACARE HOME HEALTH & HOSPICE,"1690 BELTLINE ROAD, SUITE B",DECATUR,AL,35601,4514,2360,11982589,10824948,13358305,0,429.0,118341.0
17327,AMEDISYS HOME HEALTH OF WALKER,100 HIGHWAY 78 WEST,JASPER,AL,35501,536,343,1551148,1475606,1743666,0,56.0,17133.0
17328,AMEDISYS HOME HEALTH OF BREWTON,2554 DOUGLAS AVENUE,BREWTON,AL,36426,735,359,2025364,1802146,2280004,0,78.0,19661.0
17847,MARION COUNTY HOME CARE,"2448 MILITARY STREET, SOUTH",HAMILTON,AL,35570,308,160,774236,724207,918991,0,54.0,11924.0
17848,MARSHALL COUNTY HOME CARE,150 JUDY SMITH DRIVE,GUNTERSVILLE,AL,35976,289,98,659613,582612,741097,0,46.0,10778.0
17874,LIMESTONE COUNTY HOME CARE,20371 CLYDE MABRY DRIVE,ATHENS,AL,35611,582,270,1579593,1440737,1632003,0,126.0,29043.0
17876,LAWRENCE COUNTY HOME CARE,"13299 ALABAMA HIGHWAY 157, P O BOX 308",MOULTON,AL,35650,411,151,973143,849768,1094537,0,81.0,16375.0
17175,BROOKWOOD HOME HEALTH LLC,525 BROOKWOOD BLVD,HOMEWOOD,AL,35209,64,48,193160,184430,210036,0,11.0,3161.0
17079,LAMAR HOME CARE INC,"131 1ST AVENUE NW, SUITE B",VERNON,AL,35592,235,123,413320,505254,639952,0,12.0,2210.0
17875,CULLMAN COUNTY HOME CARE,601 LOGAN AVENUE SW,CULLMAN,AL,35055,81,43,184369,161780,205073,0,13.0,3109.0
17156,BAPTIST CITIZENS HOME HEALTH CARE,604 STONE AVENUE,TALLADEGA,AL,35160,318,207,809836,751664,962474,0,14.0,4325.0
17863,TUSCALOOSA COUNTY HOME CARE,2350 HARGROVE ROAD EAST,TUSCALOOSA,AL,35405,106,55,247443,242867,277822,0,14.0,3589.0
17865,WASHINGTON COUNTY HOME CARE,14900 SAINT STEPHENS AVENUE,CHATOM,AL,36518,108,67,204451,216972,273495,0,14.0,3560.0
17872,LAMAR COUNTY HOME CARE,300 SPRINGFIELD ROAD,VERNON,AL,35592,149,96,368116,336531,425809,0,16.0,4860.0
17102,ALABAMA HOMECARE,"607 WILSON AVENUE, SUITE 3",EUTAW,AL,35462,158,97,380167,338395,390752,0,17.0,5097.0
17828,ETOWAH COUNTY HOME CARE,709 EAST BROAD STREET,GADSDEN,AL,35903,205,111,480898,468701,566904,0,17.0,4799.0
17825,DEKALB COUNTY HOME CARE,2401 CALVIN DRIVE SOUTHWEST,FORT PAYNE,AL,35967,403,183,971186,826321,1048669,0,18.0,3910.0
17017,SOUTHERN RURAL HEALTH CARE,508 ST CLAIR STREET SE,RUSSELLVILLE,AL,35653,109,84,203260,215280,272915,0,19.0,5030.0
17082,CV HOME HEALTH OF BIBB COUNTY,142 PIERSON AVENUE,CENTREVILLE,AL,35042,495,123,775502,1029026,1177018,0,19.0,5334.0
17094,CHEROKEE HOME HEALTH,"704 CHEROKEE PLAZA, SUITE 9",CENTRE,AL,35960,492,183,1421794,1087237,1376241,0,19.0,4469.0
17132,BROOKDALE HOME HEALTH BIRMINGHAM,"1104 2ND AVE EAST, SUITE C",ONEONTA,AL,35121,210,153,500009,547148,649376,0,19.0,6461.0
17816,COFFEE COUNTY HOME CARE,2841 NEAL METCALF ROAD,ENTERPRISE,AL,36330,140,85,361684,291458,368791,0,20.0,4762.0
17803,BARBOUR COUNTY HOME CARE AGENCY,39 BROWDER STREET,CLAYTON,AL,36016,177,97,447136,371321,467746,0,21.0,3866.0
17140,THE HOSPITAL HOME HEALTH,54 BEALL DRIVE,LUVERNE,AL,36049,179,116,269153,385061,488156,0,22.0,5407.0
17835,HOUSTON COUNTY HOME CARE,1781 E COTTONWOOD ROAD,DOTHAN,AL,36302,177,95,483329,375033,473248,0,22.0,4678.0
17836,JACKSON COUNTY HOME CARE,204 LIBERTY LANE,SCOTTSBORO,AL,35769,73,48,176218,154547,194762,0,22.0,5817.0
17867,WINSTON COUNTY HOME CARE,110 LEGION ROAD,DOUBLE SPRINGS,AL,35553,220,111,528030,501915,626282,0,22.0,5375.0
17008,JEFFERSON COUNTY HOME CARE,2201 ARLINGTON AVENUE,BESSEMER,AL,35020,235,100,538759,507297,582096,0,24.0,5540.0
17160,CARESOUTH HOMECARE PROFESSIONALS,"2002 35TH STREET, SUITE D",VALLEY,AL,36854,359,257,976389,1012355,1272717,0,24.0,6720.0
17873,MORGAN COUNTY HOME CARE AGENCY,"201 GORDON DRIVE SE, SUITE 107",DECATUR,AL,35601,109,43,279965,235046,301616,0,24.0,5008.0
17109,NORTHWEST HOME HEALTH HALEYVILLE,HIGHWAY 195 EAST PO BOX 780,HALEYVILLE,AL,35565,282,160,1242298,616195,780542,0,25.0,6751.0
17861,TALLADEGA COUNTY HOME CARE AGENCY,311 NORTH ELM AVENUE,SYLACAUGA,AL,35150,188,85,425078,375455,473743,0,25.0,6121.0
17072,AMEDISYS HOME HEALTH OF GREENVILLE,525 GREENVILLE BYPASS,GREENVILLE,AL,36037,424,224,1012661,964104,1218841,0,26.0,6189.0
17817,NORTHWEST ALABAMA REGIONAL HOME CARE AGENCY,1000 SOUTH JACKSON HIGHWAY,SHEFFIELD,AL,35660,253,125,698029,603275,750435,0,26.0,6863.0
17856,RANDOLPH COUNTY HOME CARE,320 MAIN STREET,ROANOKE,AL,36274,285,154,710404,637667,810875,0,26.0,5279.0
17812,MARENGO COUNTY HOME CARE AGENCY,303 INDUSTRIAL DRIVE,LINDEN,AL,36748,172,78,334803,302271,380514,0,27.0,8061.0
17106,EVERGREEN HOME CARE,308 SOUTH MAIN STREET,EVERGREEN,AL,36401,273,152,453552,545912,690919,0,28.0,7108.0
17172,"WOODLAND HOME HEALTH SERVICES CRMC, LLC",2035 ALABAMA HIGHWAY 157,CULLMAN,AL,35058,332,197,886201,777362,978452,0,28.0,7530.0
17104,HIGHLANDS HOME HEALTH,309 PARKS AVENUE,SCOTTSBORO,AL,35768,509,226,979963,1135058,1433232,0,32.0,8663.0
17086,ALABAMA HOMECARE,319A MCWILLIAMS AVENUE,CAMDEN,AL,36726,521,243,1256444,1026699,1299451,0,33.0,10425.0
17067,INTREPID USA HEALTHCARE SERVICES,7212 COPPERFIELD DRIVE,MONTGOMERY,AL,36117,339,182,1013648,924609,1127717,0,36.0,9594.0
17155,ALACARE HOME HEALTH  & HOSPICE (MOBILE),"1201 MONTLIMAR DRIVE, SUITE 700",MOBILE,AL,36609,389,260,952995,894130,1138796,0,36.0,9392.0
17050,SPECTRUM HOME HEALTH AGENCY,"1310 PULASKI PIKE, UNIT A",HUNTSVILLE,AL,35816,329,152,652442,823004,929507,0,37.0,9634.0
17136,RELIABLE HOME HEALTH,435 MEETING AVENUE,GEORGIANA,AL,36033,397,147,1011583,718514,909339,0,37.0,9779.0
17138,L V STABLER MEMORIAL HOME HEALTH,"104 CAMELLIA AVENUE, SUITE B",GREENVILLE,AL,36037,541,229,1343715,1132454,1430575,0,37.0,9892.0
17135,COMMUNITY HOME CARE,1526 GILMER AVENUE,TALLASSEE,AL,36078,277,186,475794,528310,653884,0,38.0,10317.0
17092,MEDICAL CENTER HOME HEALTH,241 ROBERT K WILSON DRIVE,CARROLLTON,AL,35447,309,173,529885,611811,768704,0,40.0,9752.0
17123,LANIER HOME HEALTH SERVICES,1806 44TH ST.,VALLEY,AL,36854,325,230,703517,685690,872893,0,40.0,10849.0
17127,SOUTH BALDWIN REGIONAL HOME HEALTH,1605 NORTH  MCKENZIE STREET,FOLEY,AL,36535,473,307,1085348,997122,1269260,0,40.0,11149.0
17157,AMEDISYS HOME HEALTH OF OPELIKA,"3320 SKYWAY DRIVE, SUITE 804",OPELIKA,AL,36801,540,378,1510957,1338474,1621557,0,41.0,11238.0
17163,AMEDISYS HOME HEALTH OF MONROEVILLE,15 MAYFIELD STREET,MONROEVILLE,AL,36460,384,213,949614,904789,1148051,0,41.0,11064.0
17041,ALABAMA HOMECARE,"100 CENTERVIEW DRIVE, SUITE 260",VESTAVIA HILLS,AL,35216,358,189,1282396,1009147,1155202,0,42.0,11330.0
17145,ST VINCENTS HOME HEALTH OF ST CLAIR COUNTY,"2401 STEMLEY BRIDGE ROAD, SUITE 7",PELL CITY,AL,35128,675,440,1635261,1756109,2077421,0,42.0,14099.0
17824,DALLAS COUNTY HOME CARE,100 SAMUEL O. MOSLEY DR,SELMA,AL,36701,157,125,219661,275914,348898,0,43.0,11300.0
17158,AMEDISYS HOME HEALTH OF FORT PAYNE,501 GREENHILL BLVD SUITE 150,FORT PAYNE,AL,35967,880,489,2754055,2323047,2953314,0,48.0,13306.0
47001,VISITING NURSE ASSOCIATION OF ARKANSAS,2 ST VINCENT CIRCLE,LITTLE ROCK,AR,72205,1335,1016,4560507,3583962,4059903,0,224.0,72028.0
47011,MERCY HOME CARE,7301B ROGERS AVE,FORT SMITH,AR,72917,475,394,1442730,1258066,1533236,0,69.0,21601.0
47016,BAXTER REGIONAL MEDICAL CENTER HOME HEALTH,701 BURNETT DRIVE,MOUNTAIN HOME,AR,72653,1178,722,3226103,2505385,3086874,0,91.0,27937.0
47021,SOUTH ARKANSAS HOME CARE,431 WEST OAK,EL DORADO,AR,71730,684,401,2640700,2053649,2549925,0,52.0,14943.0
47031,PIGGOTT COMMUNITY HOSPITAL HHA,1206 GORDON DUCKWORTH DRIVE,PIGGOTT,AR,72454,525,284,1774307,1264394,1563573,0,49.0,13575.0
47035,WHITE COUNTY MEDICAL CENTER - SOUTH HOME HEALTH,1200 SOUTH MAIN,SEARCY,AR,72143,831,646,2437878,1915686,2365867,0,96.0,25962.0
47044,EXTENDED FAMILY ENTERPRISES,2710 PHILLIPS DRIVE,JONESBORO,AR,72401,464,228,1064305,1178532,1398994,0,50.0,14362.0
47057,AMEDISYS HOME HEALTH OF SEARCY,404 LLAMA DRIVE,SEARCY,AR,72143,728,460,2026341,1839905,2244381,0,83.0,22700.0
47070,INTREPID USA HEALTHCARE SERVICES,"300 SOUTH RODNEY PARHAM, SUITE 14",LITTLE ROCK,AR,72205,1581,1173,5625782,4975029,5654174,0,136.0,42570.0
47083,CONWAY REGIONAL HOMECARE SVCS,2134 ROBINSON,CONWAY,AR,72034,724,536,1895529,1759590,2014593,0,49.0,15611.0
47090,BAPTIST HEALTH HOME HEALTH-LR,"11900 COLONEL GLENN ROAD, SUITE 2000",LITTLE ROCK,AR,72210,2562,1959,6843281,6856286,7899508,0,353.0,108118.0
47108,AMEDYISIS HOME HEALTH OF MOUNTAIN VIEW,609 SYLAMORE AVENUE,MOUNTAIN VIEW,AR,72560,654,317,1782804,1575354,1946329,0,71.0,19771.0
47116,HOME HEALTH PROFESSIONALS INC,509 HUTSON STREET,BLYTHEVILLE,AR,72316,565,258,1361891,1159726,1428592,0,92.0,25678.0
47122,CRITTENDEN REG  HOSPITAL HOME HEALTH W MEMPHIS,200 TYLER CMH PAVILLION  STE 1,WEST MEMPHIS,AR,72301,771,364,1190960,1973848,2224586,0,74.0,24379.0
47128,NORTHEAST ARKANSAS HOMECARE,1712 LINDAUER,FORREST CITY,AR,72335,1537,661,4682443,3604113,4255652,0,141.0,40271.0
47133,WEST ARKANSAS HOME CARE,1201 SOUTH MENA STREET,MENA,AR,71953,841,414,2605675,1856797,2293338,0,61.0,17299.0
47135,HOME HEALTH PROFESSIONALS & HOSPICE,2222 SPENCE CIRCLE,JONESBORO,AR,72401,696,266,1925611,1531896,1832199,0,85.0,22997.0
47138,SOUTHWEST ARKANSAS HOMECARE,"132 MEDICAL CIRCLE, SUITE 400",NASHVILLE,AR,71852,1425,725,4745743,3400157,4181168,0,224.0,57140.0
47139,LITTLE RIVER MEMORIAL HOSPITAL HOME HEALTH,111 WEST MAIN STREET,ASHDOWN,AR,71822,1164,450,3270777,2620868,3244721,0,52.0,14354.0
47149,MERCY HOME HEALTH,"1200 WEST WALNUT STREET, SUITE 1800",ROGERS,AR,72756,888,637,2638294,2481943,2652817,0,88.0,31144.0
47151,CENTRAL ARKANSAS HOMECARE,"1820 CENTRAL AVENUE, SUITE C",HOT SPRINGS,AR,71901,1104,741,3394582,2700124,3079902,0,198.0,61674.0
47174,CARE IV HOME HEALTH,"100 RIDGEWAY, SUITE 3",HOT SPRINGS,AR,71901,375,230,1059761,1074405,1218163,0,52.0,17666.0
47814,CRITTENDEN COUNTY HEALTH UNIT,901 NORTH SEVENTH STREET,WEST MEMPHIS,AR,72301,37,20,116620,90078,98401,0,14.0,3905.0
47830,JOHNSON COUNTY HEALTH UNIT,1219 SOUTH ROGERS STREET,CLARKSVILLE,AR,72830,86,33,206586,144928,179327,0,17.0,5585.0
47153,JOHNSON REGIONAL HOME CARE,401 SOUTH ROGERS STREET,CLARKSVILLE,AR,72830,167,111,317553,331874,408058,0,19.0,6366.0
47886,ASHLEY COUNTY HEALTH UNIT,117 PINE STREET,CROSSETT,AR,71635,80,45,242361,178100,220101,0,20.0,4747.0
47112,REGIONAL HOME CARE HELENA,119 HICKORY HILL,HELENA,AR,72342,404,224,921990,887811,1098309,0,21.0,5965.0
47835,LOGAN COUNTY HEALTH UNIT PARIS,150 SOUTH LOWDER STREET,PARIS,AR,72855,98,47,264072,191285,236333,0,21.0,4373.0
47855,SCOTT COUNTY HEALTH UNIT,73 HIGHWAY 71 BYPASS,WALDRON,AR,72958,71,29,195090,122896,151890,0,21.0,5007.0
47880,YELL COUNTY HEALTH UNIT DANVILLE,1309 EAST EIGHTH STREET,DANVILLE,AR,72833,69,34,173320,127653,157531,0,21.0,5575.0
47114,JORDAN HEALTH SERVICES,"4100 JEFFERSON AVENUE, SUITE A",TEXARKANA,AR,71854,323,165,857715,797408,955396,0,22.0,7496.0
47810,COLUMBIA COUNTY HEALTH UNIT,207 SOUTH JEFFERSON,MAGNOLIA,AR,71753,55,35,132389,111192,137325,0,23.0,5340.0
47088,INTREPID USA HEALTHCARE SERVICES,"109 9TH STREET, BUILDING 1",MC CRORY,AR,72101,493,165,1402368,1187398,1466809,0,24.0,6847.0
47052,HARRIS HOME HEALTH,1301 MCLAIN STREET,NEWPORT,AR,72112,420,187,1091613,978247,1211179,0,26.0,7402.0
47109,ACMC FAMILY HOME HEALTH,211 PINE STREET,CROSSETT,AR,71635,266,182,657698,610870,757059,0,26.0,7291.0
47156,VISITING NURSES AGENCY,333 SOUTH FIRST STREET,PARIS,AR,72855,197,104,370122,439712,541916,0,26.0,7406.0
47172,ALLIANCE HOME HEALTH CARE OF BENTON COUNTY,"540 E APPLEBY ROAD, SUITE 103",FAYETTEVILLE,AR,72703,584,302,2121819,2042258,2182578,0,27.0,9180.0
47338,BAXTER HOSPITAL HH MARION CO,414 WEST OLD MAIN STREET,YELLVILLE,AR,72687,314,239,791245,652685,807011,0,27.0,8117.0
47346,ARKANSAS HOMECARE,2860 WEST WALNUT AVENUE,ROGERS,AR,72756,345,239,1272986,1167052,1253759,0,28.0,9174.0
47858,SHARP COUNTY HEALTH UNIT,724 ASH FLAT DRIVE,ASH FLAT,AR,72513,62,38,179374,124543,153399,0,31.0,7052.0
47034,"VISITING NURSES AGENCY OF WESTERN ARKANSAS, INC",524 GARRISON AVENUE,FORT SMITH,AR,72902,235,159,472224,560144,685137,0,32.0,7508.0
47339,ARKANSAS HOMECARE,4019 MASSARD ROAD,FORT SMITH,AR,72903,377,273,1271200,1079455,1313230,0,32.0,9789.0
47099,PETIT JEAN HOME HEALTH,#4 HOSPITAL DRIVE,MORRILTON,AR,72110,464,346,1868135,1264383,1533434,0,33.0,9579.0
47173,CARE IV HOME HEALTH,1008 WEST MAIN STREET,RUSSELLVILLE,AR,72801,327,141,705817,761949,939448,0,33.0,9109.0
47170,ALLIANCE HOME HEALTH CARE OF WASHINGTON COUNTY,"540 E APPLEBY DRIVE, SUITE 102",FAYETTEVILLE,AR,72703,442,224,1470618,1507369,1611314,0,34.0,11422.0
47828,JACKSON COUNTY HEALTH UNIT,1505 NORTH PECAN STREET,NEWPORT,AR,72112,111,53,291650,215136,265328,0,34.0,8271.0
47081,MAGNOLIA HOSPITAL HHA,833 NORTH WASHINGTON,MAGNOLIA,AR,71753,577,289,1253596,1173221,1450571,0,39.0,10616.0
47800,ASHLEY COUNTY HEALTH UNIT,401 NORTH CHERRY STREET,HAMBURG,AR,71646,137,48,326157,255962,315365,0,39.0,9225.0
47827,INDEPENDENCE COUNTY HEALTH UNIT,120 WEAVER AVENUE,BATESVILLE,AR,72501,98,42,219089,179498,221814,0,41.0,10184.0
47028,ARKANSAS HOMECARE,1152 N RODNEY PARHAM ROAD,LITTLE ROCK,AR,72212,430,365,1380855,1215218,1381525,0,43.0,13685.0
