provider_id,agency_name,street_address,city,state,zip_code,total_episodes_non_lupa,distinct_beneficiaries_non_lupa,average_number_of_total_visits_per_episode_non_lupa,average_number_of_skilled_nursing_visits_per_episode_non_lupa,average_number_of_pt_visits_per_episode_non_lupa,average_number_of_ot_visits_per_episode_non_lupa,average_number_of_st_visits_per_episode_non_lupa,average_number_of_home_health_aide_visits_per_episode_non_lupa,average_number_of_medical_social_visits_per_episode_non_lupa,total_hha_charge_amount_non_lupa,total_hha_medicare_payment_amount_non_lupa,total_hha_medicare_standard_payment_amount_non_lupa,outlier_payments_as_a_percent_of_medicare_payment_amount_non_lupa,total_lupa_episodes,total_hha_medicare_payment_amount_for_lupas,average_age,male_beneficiaries,female_beneficiaries,nondual_beneficiaries,dua_beneficiaries,white_beneficiaries,black_beneficiaries,asian_pacific_islander_beneficiaries,hispanic_beneficiaries,american_indian_or_alaska_native_beneficiaries,other_unknown_beneficiaries,average_hcc_score,percent_of_beneficiaries_with_atrial_fibrillation,percent_of_beneficiaries_with_alzheimers,percent_of_beneficiaries_with_asthma,percent_of_beneficiaries_with_cancer,percent_of_beneficiaries_with_chf,percent_of_beneficiaries_with_chronic_kidney_disease,percent_of_beneficiaries_with_copd,percent_of_beneficiaries_with_depression,percent_of_beneficiaries_with_diabetes,percent_of_beneficiaries_with_hyperlipidemia,percent_of_beneficiaries_with_hypertension,percent_of_beneficiaries_with_ihd,percent_of_beneficiaries_with_osteoporosis,percent_of_beneficiaries_with_ra_oa,percent_of_beneficiaries_with_schizophrenia,percent_of_beneficiaries_with_stroke
59118,"MEDQUEST HEALTH SERVICES, INC","16025 ARROW HIGHWAY, STE. C",BALDWIN PARK,CA,91706,441,329,8.8,6.9,1.6,0.3,0.0,0.0,0.0,584165,1322215,1131730,0.1,30.0,12237.0,77,125.0,204.0,46.0,283.0,37.0,20.0,176.0,92.0,,,2.7,15,41.0,16.0,10,42.0,49.0,53.0,29.0,69.0,66.0,,67.0,29,61.0,11.0,9
58476,"DUHANEY HOME HEALTH CARE, INC",360 N SEPULVEDA BLVD SUITE 1048,EL SEGUNDO,CA,90245,395,142,22.8,14.5,4.1,0.1,0.1,4.0,0.0,1063720,1247326,1033023,3.1,14.0,6007.0,78,64.0,78.0,81.0,61.0,59.0,27.0,17.0,36.0,,,2.4,13,30.0,11.0,15,36.0,40.0,18.0,42.0,42.0,56.0,,40.0,12,54.0,8.0,8
58080,"ACCURATE HOME HEALTH CARE, INC","3360 FLAIR DR, STE 210A",EL MONTE,CA,91731,416,230,15.4,10.6,3.6,0.2,0.0,0.9,0.0,1000848,1343456,1132708,2.1,16.0,6304.0,78,86.0,144.0,99.0,131.0,98.0,,37.0,90.0,,,2.72,16,38.0,13.0,11,44.0,54.0,35.0,36.0,61.0,,,63.0,27,64.0,14.0,10
58368,"INFINITE HOME HEALTH, INC","22151 VENTURA BLVD, SUITE 201",WOODLAND HILLS,CA,91364,803,240,20.3,14.8,1.7,0.0,0.1,3.7,0.0,2194991,2599184,2026144,8.8,27.0,8528.0,80,81.0,159.0,109.0,131.0,172.0,16.0,18.0,25.0,,,2.33,15,50.0,13.0,8,45.0,41.0,17.0,52.0,50.0,65.0,,54.0,24,64.0,10.0,11
58203,HERALDS HOME HEALTH,"3703 LONG BEACH BLVD, STE 403",LONG BEACH,CA,90807,737,260,14.0,10.8,2.0,0.3,0.0,0.9,0.0,1836666,2073436,1749732,1.5,51.0,19418.0,81,84.0,176.0,153.0,107.0,110.0,65.0,33.0,49.0,,,2.8,21,50.0,22.0,12,55.0,52.0,30.0,32.0,58.0,67.0,,55.0,21,53.0,10.0,14
108499,GOLDEN HEART HOME HEALTH CARE,1700 WELLS RD  UNIT 23,ORANGE PARK,FL,32073,211,119,17.3,5.1,11.4,0.0,0.0,0.9,0.0,532110,650494,717814,0.1,19.0,6184.0,72,42.0,77.0,55.0,64.0,43.0,26.0,29.0,11.0,,,2.0,7,24.0,13.0,11,24.0,39.0,26.0,23.0,47.0,73.0,,46.0,8,58.0,7.0,8
107225,ORLANDO HEALTH HOME CARE,102 W PINELOCH AVE STE 23,ORLANDO,FL,32806,2106,1644,15.8,8.8,4.2,1.3,0.2,1.3,0.0,5687702,5226574,5699523,0.7,295.0,105042.0,76,678.0,966.0,1253.0,391.0,1183.0,278.0,28.0,132.0,,,2.3,28,29.0,14.0,18,43.0,51.0,33.0,32.0,52.0,,,66.0,13,53.0,6.0,16
107444,MEMORIAL HOME HEALTH SERVICES,7369 SHERIDAN ST  STE 101,HOLLYWOOD,FL,33024,1516,1194,20.5,12.4,4.1,0.9,0.1,2.9,0.0,5232655,4559075,4380171,2.9,278.0,99901.0,76,500.0,694.0,763.0,431.0,706.0,218.0,20.0,231.0,,,2.53,27,26.0,13.0,19,45.0,54.0,34.0,28.0,54.0,,,65.0,14,43.0,6.0,15
108048,NURSE ON CALL,15215 CORTEZ BLVD,BROOKSVILLE,FL,34613,4029,2208,21.7,11.4,7.1,2.3,0.3,0.7,0.0,13745552,13721501,14905017,3.0,318.0,108203.0,78,886.0,1322.0,1650.0,558.0,1954.0,159.0,16.0,60.0,,,2.19,23,42.0,10.0,16,41.0,48.0,39.0,48.0,46.0,67.0,,63.0,16,59.0,12.0,13
107785,"USA HOME HEALTH SERVICES, INC.",5300 W ATLANTIC AVE STE 300,DELRAY BEACH,FL,33484,2205,1437,23.1,15.5,4.8,0.8,0.2,1.7,0.0,8986797,7797317,7461103,9.2,135.0,44386.0,79,618.0,819.0,1083.0,354.0,1186.0,137.0,16.0,88.0,,,2.42,25,34.0,13.0,17,40.0,44.0,29.0,46.0,45.0,73.0,,69.0,15,60.0,12.0,14
147931,"HEALTHQUEST HOMECARE, LLC","2500 EAST DEVON AVENUE, SUITE 375",DES PLAINES,IL,60018,619,310,15.9,4.6,5.6,0.9,4.2,0.7,0.0,1497906,2202746,2152998,0.1,12.0,4168.0,63,150.0,160.0,39.0,271.0,217.0,38.0,26.0,28.0,,,1.58,7,25.0,11.0,5,27.0,20.0,15.0,34.0,40.0,49.0,57.0,32.0,22,53.0,15.0,6
148047,"STELLAR HOME HEALTH CARE, INC","3530 W PETERSON AVE, STE 209",CHICAGO,IL,60659,612,275,14.1,7.1,6.8,0.2,0.0,0.1,0.0,1078502,1849864,1817921,0.1,32.0,8499.0,69,95.0,180.0,83.0,192.0,58.0,154.0,21.0,38.0,,,2.37,12,21.0,24.0,12,44.0,47.0,28.0,30.0,60.0,70.0,,53.0,13,,5.0,9
147951,"ABSOLUTE HEALTHCARE SYSTEMS, INC","2860 SOUTH RIVER ROAD, SUITE 355",DES PLAINES,IL,60018,1151,391,10.6,8.2,1.6,0.1,0.0,0.6,0.0,2750313,2634107,2589271,0.0,37.0,9574.0,69,182.0,209.0,126.0,265.0,37.0,323.0,16.0,14.0,,,1.76,8,23.0,38.0,7,46.0,31.0,30.0,29.0,61.0,62.0,,66.0,8,,10.0,9
147658,ARDENT HOME HEALTH CARE INC,6124 W 63RD STREET,CHICAGO,IL,60638,518,152,11.4,8.4,2.7,0.1,0.0,0.3,0.0,914070,1254705,1233419,0.0,30.0,10611.0,73,53.0,99.0,34.0,118.0,42.0,66.0,18.0,21.0,,,2.14,17,28.0,20.0,8,53.0,35.0,26.0,38.0,73.0,,,63.0,12,,7.0,11
147751,"EXCELLENT HOME HEALTH CARE, INC",3901 WEST OAKTON,SKOKIE,IL,60076,595,249,12.1,8.7,2.5,0.2,0.0,0.7,0.0,891723,1444814,1420475,0.0,12.0,4216.0,74,104.0,145.0,110.0,139.0,120.0,65.0,32.0,28.0,,,1.86,19,29.0,17.0,13,43.0,40.0,18.0,25.0,51.0,73.0,,49.0,17,,10.0,6
147771,HCN HOME HEALTH CARE,6288 NORTH CICERO,CHICAGO,IL,60646,1124,287,15.9,8.6,5.4,0.2,0.0,1.7,0.0,3775018,3109693,3050164,0.0,29.0,10555.0,74,99.0,188.0,80.0,207.0,80.0,97.0,72.0,31.0,,,1.93,10,36.0,29.0,7,53.0,34.0,29.0,29.0,59.0,62.0,,53.0,15,,7.0,11
147952,"AMERICARE HOMEHEALTH SERVICES, LLC","6160 NORTH CICERO, SUITE 503",CHICAGO,IL,60646,533,212,11.6,8.4,2.1,0.1,0.0,1.0,0.0,933656,1163253,1168275,0.0,31.0,8961.0,74,70.0,142.0,85.0,127.0,54.0,80.0,38.0,31.0,,,1.78,9,55.0,32.0,7,49.0,31.0,24.0,39.0,68.0,75.0,,64.0,10,,8.0,8
147817,"GOOD HEART HOME HEALTH CARE, INC","1550 N NORTHWEST HWY, STE 308",PARK RIDGE,IL,60068,752,268,11.9,8.6,1.8,0.3,0.0,1.2,0.0,1364805,1750716,1721154,0.0,40.0,13174.0,74,86.0,182.0,72.0,196.0,52.0,103.0,30.0,81.0,,,2.19,15,27.0,28.0,11,49.0,41.0,27.0,30.0,63.0,73.0,,63.0,17,,7.0,12
147866,"ADVANCE CARE HOME HEALTH, INC","6055 N LINCOLN AVENUE, STE 101",CHICAGO,IL,60659,355,140,10.5,8.4,1.1,0.1,0.0,0.9,0.0,672484,862126,847487,0.0,14.0,3658.0,75,53.0,87.0,43.0,97.0,20.0,30.0,39.0,50.0,,,1.56,6,25.0,23.0,8,39.0,29.0,22.0,46.0,,71.0,,69.0,23,,10.0,7
147812,"O & P HOME HEALTH CARE, INC",4950 MAIN STREET,SKOKIE,IL,60077,762,208,15.4,9.5,3.2,0.6,0.1,2.1,0.0,2390733,2078097,2022142,0.9,24.0,8043.0,75,88.0,120.0,78.0,130.0,67.0,57.0,29.0,52.0,,,2.07,18,38.0,19.0,10,51.0,39.0,23.0,40.0,64.0,67.0,,51.0,9,,12.0,12
148166,"HOME LIFE HEALTHCARE, CORP","890 E HIGGINS ROAD, STE 157",SCHAUMBURG,IL,60173,596,267,13.3,8.2,3.0,0.5,0.2,1.5,0.0,1207769,1626387,1599183,0.0,27.0,10903.0,75,102.0,165.0,85.0,182.0,50.0,130.0,54.0,27.0,,,2.39,17,30.0,22.0,12,58.0,52.0,25.0,27.0,65.0,73.0,,63.0,17,,7.0,12
147545,CARING PROFESSIONALS HOME CARE,3450 - 3456 W PETERSON AVENUE,CHICAGO,IL,60659,697,226,16.0,9.1,5.3,0.3,0.1,1.1,0.0,2282812,2077192,2041568,0.0,29.0,10275.0,75,82.0,144.0,65.0,161.0,51.0,104.0,43.0,21.0,,,2.16,11,36.0,30.0,12,48.0,42.0,35.0,29.0,62.0,59.0,,68.0,10,,12.0,12
147292,VNA HEALTHTRENDS LTD.,200 E HOWARD ST,DES PLAINES,IL,60018,2105,1360,15.0,6.2,7.1,0.9,0.2,0.5,0.0,7537377,6991635,6905548,0.0,236.0,87270.0,77,484.0,876.0,998.0,362.0,1030.0,213.0,37.0,63.0,,,2.21,23,33.0,13.0,16,45.0,48.0,29.0,37.0,44.0,67.0,,53.0,19,69.0,8.0,14
147780,"COMPMED HOME HEALTH, INC","4711 GOLF ROAD, SUITE 806",SKOKIE,IL,60076,402,179,14.8,8.9,4.3,0.2,0.1,1.4,0.0,1250235,1079353,1060424,0.0,16.0,5592.0,77,61.0,118.0,51.0,128.0,95.0,39.0,17.0,25.0,,,2.62,20,39.0,17.0,16,50.0,46.0,35.0,35.0,72.0,69.0,,63.0,16,,13.0,16
147802,AVESENA HOME HEALTH CARE,"221 E LAKE STREET, #108",ADDISON,IL,60101,336,119,19.6,7.4,4.8,1.1,0.1,6.1,0.0,1268517,932326,914954,0.2,23.0,7809.0,77,38.0,81.0,57.0,62.0,74.0,,29.0,,,,2.47,29,28.0,12.0,4,56.0,40.0,37.0,41.0,62.0,69.0,,58.0,14,71.0,7.0,8
147820,"HOME BOUND HEALTHCARE, INC",1615 VOLLMER ROAD,FLOSSMOOR,IL,60422,2457,912,22.1,6.6,9.8,1.8,0.5,3.4,0.0,8079781,9151422,9399782,0.0,86.0,34377.0,78,294.0,618.0,484.0,428.0,661.0,154.0,17.0,76.0,,,2.45,20,39.0,17.0,12,50.0,45.0,35.0,41.0,53.0,60.0,,66.0,12,62.0,14.0,12
147806,"VITAL WELLNESS HOME HEALTH, INC","651 AMERSALE DRIVE, STE 105",NAPERVILLE,IL,60563,1562,913,17.3,8.8,6.5,1.1,0.1,0.7,0.0,4748590,4923148,5064116,0.1,161.0,56565.0,80,307.0,606.0,627.0,286.0,825.0,37.0,16.0,28.0,,,2.19,27,44.0,11.0,15,45.0,47.0,29.0,44.0,44.0,63.0,,52.0,16,61.0,13.0,14
147988,"HAPPY HOME HEALTH CARE, PC",5810 N LINCOLN AVENUE,CHICAGO,IL,60659,480,199,14.0,8.5,2.7,0.4,0.0,2.5,0.0,890133,1267844,1246404,0.0,14.0,4478.0,80,73.0,126.0,65.0,134.0,56.0,33.0,78.0,27.0,,,1.97,14,52.0,23.0,11,44.0,37.0,19.0,24.0,52.0,63.0,,64.0,24,,5.0,11
148021,MAXICARE HOME HEALTH SERVICES,5500 TOUHY AVENUE UNIT C,SKOKIE,IL,60077,595,248,15.7,8.6,4.7,0.9,0.0,1.4,0.0,1298992,1756416,1760509,0.0,22.0,6934.0,80,94.0,154.0,166.0,82.0,173.0,29.0,23.0,19.0,,,2.73,23,33.0,17.0,17,63.0,50.0,30.0,33.0,44.0,66.0,,75.0,11,69.0,7.0,10
147785,"GUARDIAN HOME HEALTH CARE, LLC","181 WAUKEGAN RD, STE 301",NORTHFIELD,IL,60093,1338,977,20.4,7.6,9.3,1.5,0.3,1.8,0.0,3914240,4731970,4619387,0.2,121.0,43546.0,81,309.0,668.0,882.0,95.0,896.0,29.0,17.0,23.0,,,1.81,25,27.0,10.0,16,35.0,35.0,20.0,31.0,32.0,65.0,,47.0,20,71.0,8.0,9
148233,"MEDI LINK HEALTH SERVICES, LLC","1701 E WOODFIELD RD, STE 403",SCHAUMBURG,IL,60173,666,336,14.3,7.5,4.9,1.3,0.1,0.6,0.0,1192413,2073939,2038186,0.0,44.0,17849.0,81,115.0,221.0,270.0,66.0,274.0,26.0,21.0,11.0,,,2.16,28,33.0,16.0,14,52.0,49.0,30.0,43.0,41.0,71.0,,59.0,15,,7.0,11
147814,ADVANCARE HEALTHCARE SERVICES,2625 BUTTERFIELD RD SUIT 304 S,OAK BROOK,IL,60523,1651,764,17.9,5.7,10.6,1.0,0.2,0.4,0.0,3869290,6268441,6159092,0.0,85.0,31398.0,83,237.0,527.0,593.0,171.0,449.0,274.0,16.0,20.0,,,2.01,18,51.0,10.0,16,44.0,43.0,23.0,39.0,39.0,59.0,,47.0,22,,11.0,10
227068,VNA OF BOSTON,"500 RUTHERFORD AVENUE, SUITE 101",CHARLESTOWN,MA,2129,7127,4244,15.8,8.3,4.3,1.3,0.1,1.9,0.0,20991019,24386328,20934122,0.2,751.0,316585.0,77,1597.0,2647.0,2196.0,2048.0,2362.0,1288.0,118.0,378.0,,,2.28,20,27.0,19.0,16,42.0,51.0,26.0,42.0,48.0,62.0,,54.0,18,53.0,8.0,10
217121,COMMUNITY HOME HEALTH OF MD,"10999 RED RUN BLVD, SUITE 100",OWINGS MILLS,MD,21117,2416,2008,15.8,6.1,6.7,2.1,0.2,0.7,0.0,6188198,7579946,7693585,0.1,321.0,126947.0,76,797.0,1211.0,1565.0,443.0,1258.0,682.0,35.0,19.0,,,2.18,23,30.0,13.0,16,40.0,47.0,29.0,34.0,44.0,65.0,,52.0,14,56.0,9.0,15
217084,POTOMAC HOME HEALTH CARE,6001 MONTROSE ROAD  301,ROCKVILLE,MD,20852,2401,2000,14.1,3.6,8.4,0.8,0.2,1.0,0.0,5057793,7608468,7493265,0.1,550.0,232098.0,80,723.0,1277.0,1878.0,122.0,1656.0,159.0,67.0,68.0,,,1.46,20,29.0,9.0,17,26.0,31.0,16.0,31.0,25.0,62.0,,38.0,15,64.0,7.0,9
297159,PATIENT CARE HOME HEALTH SERVICES,6849-A CHARLESTON BLVD,LAS VEGAS,NV,89117,1053,537,17.1,11.5,2.4,0.7,0.0,2.4,0.0,2372414,2942064,2550016,4.2,31.0,13485.0,73,219.0,318.0,358.0,179.0,305.0,67.0,49.0,100.0,,,2.14,20,26.0,15.0,15,39.0,48.0,37.0,31.0,53.0,72.0,,56.0,13,53.0,5.0,12
337290,"AMERICARE CERTIFIED SPECIAL SERVICES, INC CHHA",5923 STRICKLAND AVENUE,BROOKLYN,NY,11234,3083,2278,32.4,15.3,4.4,0.7,0.1,12.1,0.0,11951109,12999949,9663242,9.2,345.0,161057.0,80,766.0,1512.0,566.0,1712.0,928.0,364.0,534.0,382.0,,,2.51,21,47.0,19.0,13,53.0,46.0,26.0,36.0,64.0,73.0,,72.0,20,60.0,10.0,18
337425,"PREMIER HOME HEALTH CARE SERVICES, INC","50 COURT STREET,  11TH FLOOR",BROOKLYN,NY,11201,178,148,17.4,11.3,3.7,0.0,0.0,2.4,0.0,559679,603200,474177,6.7,56.0,19803.0,83,44.0,104.0,35.0,113.0,76.0,24.0,16.0,26.0,,,2.68,18,48.0,19.0,9,58.0,41.0,27.0,38.0,66.0,70.0,,75.0,19,63.0,5.0,18
397005,VNA OF GREATER PHILADELPHIA,"FALLS CENTER, 3300 HENRY AVENUE, SUITE 500",PHILADELPHIA,PA,19129,3232,1962,15.7,9.9,3.8,0.5,0.2,1.3,0.0,14827012,9387633,8909755,0.4,371.0,142181.0,73,794.0,1168.0,972.0,990.0,606.0,1130.0,41.0,162.0,,,2.66,17,29.0,15.0,15,46.0,54.0,27.0,35.0,55.0,60.0,,54.0,10,52.0,9.0,15
397603,MILLENIUM HOME HEALTH CARE INC,"370 REED ROAD, SUITE 319",BROOMALL,PA,19008,1491,1159,17.7,7.2,6.9,3.1,0.2,0.2,0.0,4190174,5484876,5224435,0.0,135.0,48566.0,78,450.0,709.0,820.0,339.0,747.0,367.0,17.0,21.0,,,2.58,24,43.0,13.0,14,46.0,51.0,29.0,43.0,48.0,65.0,,58.0,17,57.0,12.0,20
747640,ANGELS OF CARE HOME HEALTH INCORPORATED,12200 FORD ROAD SUITE 350,DALLAS,TX,75234,351,113,11.0,8.8,1.5,0.1,0.0,0.5,0.0,616860,771527,779106,2.1,14.0,5381.0,67,35.0,78.0,19.0,94.0,12.0,46.0,28.0,25.0,,,1.93,4,54.0,27.0,4,40.0,35.0,27.0,47.0,62.0,74.0,,49.0,15,74.0,11.0,7
457980,JK HOME HEALTH SERVICE,609 NORTH EBRITE STREET  SUITE 103,MESQUITE,TX,75149,301,106,12.0,8.6,1.3,0.1,0.0,2.0,0.0,702595,636621,655197,0.1,12.0,4146.0,71,41.0,65.0,35.0,71.0,30.0,35.0,24.0,15.0,,,2.57,8,34.0,16.0,11,48.0,50.0,26.0,44.0,56.0,70.0,,59.0,8,,12.0,16
679543,ULTIMATE HOME HEALTH CARE,4402 BROADWAY BLVD SUITE 14,GARLAND,TX,75043,549,142,15.8,11.3,1.2,0.2,0.0,3.0,0.0,1301605,1411294,1360811,6.3,14.0,5341.0,71,47.0,95.0,30.0,112.0,36.0,47.0,29.0,26.0,,,2.24,9,43.0,20.0,6,46.0,44.0,30.0,35.0,62.0,70.0,,50.0,23,,6.0,11
679749,THE PROVIDENCE HOME HEALTH SERVICES INC,11420 DAIRY ASHFORD RD SUITE #108,SUGAR LAND,TX,77478,810,324,17.1,8.4,5.0,0.3,0.2,3.2,0.0,1913848,2212033,2263184,0.0,55.0,18773.0,76,119.0,205.0,197.0,127.0,143.0,99.0,30.0,51.0,,,2.6,15,41.0,12.0,9,53.0,54.0,31.0,39.0,62.0,70.0,,71.0,14,69.0,11.0,17
453195,DELTACARE HOME HEALTH SERVICE LLC,2608 TEXAS DRIVE,IRVING,TX,75062,693,201,22.9,14.5,2.7,0.6,0.0,5.1,0.0,2232888,1995622,1872870,8.9,21.0,6583.0,76,59.0,142.0,99.0,102.0,99.0,29.0,33.0,38.0,,,2.31,17,40.0,14.0,10,44.0,51.0,22.0,39.0,57.0,68.0,,51.0,17,68.0,8.0,7
457222,GIRLING HOME HEALTH TEXAS BY HARDEN HEALTHCARE,6700 WEST LOOP SOUTH SUITE 200,BELLAIRE,TX,77401,1846,931,16.7,7.5,6.7,1.5,0.4,0.7,0.0,5690977,5945846,6174014,1.9,254.0,87993.0,77,300.0,631.0,564.0,367.0,526.0,239.0,18.0,138.0,,,2.76,19,37.0,9.0,12,47.0,50.0,31.0,36.0,52.0,62.0,,63.0,14,58.0,9.0,14
679407,THERACARE HOME HEALTH,697 SOUTH STEMMONS FWY,LEWISVILLE,TX,75067,891,700,18.2,4.7,8.7,3.2,0.7,0.8,0.0,3574375,3371405,3497326,0.0,78.0,27481.0,77,258.0,442.0,600.0,100.0,570.0,76.0,17.0,31.0,,,2.06,24,35.0,16.0,16,43.0,46.0,32.0,47.0,46.0,73.0,,53.0,20,68.0,8.0,18
677574,ULTRA HOME HEALTH CARE INC,8303 SW FREEWAY SUITE 410,HOUSTON,TX,77074,275,171,16.0,9.4,5.7,0.0,0.0,0.9,0.0,658933,741009,757130,0.0,13.0,5612.0,78,61.0,110.0,28.0,143.0,13.0,13.0,133.0,11.0,,,2.09,11,40.0,18.0,8,31.0,47.0,21.0,21.0,60.0,,,52.0,32,63.0,5.0,8
457978,OPTIMUM HOME HEALTH CARE INC,5501 INDEPENDENCE PKWY SUITE 304,PLANO,TX,75023,583,170,22.1,10.1,5.5,1.0,0.1,5.4,0.0,2536529,1764136,1771881,4.2,15.0,3690.0,79,47.0,123.0,114.0,56.0,119.0,18.0,18.0,13.0,,,2.27,18,35.0,19.0,10,43.0,41.0,24.0,51.0,40.0,74.0,,52.0,18,61.0,9.0,14
497008,INOVA VNA HOME HEALTH,9900 MAIN STREET,FAIRFAX,VA,22031,4464,3726,13.6,5.5,5.9,1.3,0.2,0.7,0.0,13861821,13227259,13004525,0.1,751.0,314838.0,77,1551.0,2175.0,3212.0,514.0,2828.0,388.0,265.0,158.0,,,1.73,23,20.0,15.0,17,34.0,43.0,22.0,24.0,37.0,71.0,,47.0,12,60.0,4.0,13
